amount,distance_from_home,merchant_category,transaction_type,card_type,is_fraud
12.50,1.2,grocery,in_store_chip,visa,0
45.00,3.5,grocery,in_store_chip,mastercard,0
89.99,12.0,electronics,online_checkout,visa,0
1250.00,450.0,electronics,international_online,visa,1
2.50,0.5,grocery,in_store_chip,amex,0
3400.00,620.0,travel,international_online,mastercard,1
15.00,2.1,entertainment,in_store_chip,visa,0
2200.00,15.0,electronics,online_checkout,mastercard,0
1.20,850.0,grocery,international_online,visa,1
55.40,4.8,grocery,in_store_chip,visa,0
18.90,1.1,grocery,in_store_chip,mastercard,0
450.00,250.0,travel,online_checkout,amex,0
5100.00,980.0,electronics,international_online,visa,1
32.10,2.4,entertainment,in_store_chip,visa,0
120.00,8.5,online_services,online_checkout,mastercard,0
4500.00,1200.0,travel,international_online,mastercard,1
8.50,0.8,grocery,in_store_chip,visa,0
150.00,14.2,electronics,in_store_chip,amex,0
3.50,550.0,online_services,international_online,mastercard,1
62.00,5.1,grocery,in_store_chip,visa,0
28.00,1.9,grocery,in_store_chip,mastercard,0
95.00,10.2,entertainment,online_checkout,visa,0
1800.00,310.0,electronics,international_online,amex,1
14.20,1.5,grocery,in_store_chip,visa,0
220.00,18.0,travel,online_checkout,mastercard,0
2800.00,750.0,electronics,international_online,visa,1
1.50,0.3,grocery,in_store_chip,mastercard,0
85.00,7.8,online_services,online_checkout,visa,0
4200.00,1100.0,travel,international_online,visa,1
42.50,3.8,grocery,in_store_chip,mastercard,0
19.50,2.0,grocery,in_store_chip,visa,0
110.00,9.1,electronics,in_store_chip,visa,0
2900.00,480.0,electronics,international_online,mastercard,1
5.20,0.6,grocery,in_store_chip,amex,0
310.00,22.0,travel,online_checkout,visa,0
3900.00,890.0,travel,international_online,visa,1
16.80,1.8,entertainment,in_store_chip,mastercard,0
145.00,12.5,online_services,online_checkout,visa,0
2.10,620.0,online_services,international_online,visa,1
75.00,6.2,grocery,in_store_chip,mastercard,0
22.40,1.4,grocery,in_store_chip,visa,0
88.00,8.0,entertainment,online_checkout,mastercard,0
1650.00,290.0,electronics,international_online,visa,1
11.50,1.1,grocery,in_store_chip,visa,0
190.00,15.2,travel,online_checkout,amex,0
2400.00,680.0,electronics,international_online,mastercard,1
0.99,0.2,grocery,in_store_chip,mastercard,0
92.00,7.1,online_services,online_checkout,visa,0
4800.00,1350.0,travel,international_online,visa,1
38.00,3.2,grocery,in_store_chip,mastercard,0
24.50,2.2,grocery,in_store_chip,visa,0
130.00,11.0,electronics,in_store_chip,visa,0
3100.00,520.0,electronics,international_online,mastercard,1
6.80,0.9,grocery,in_store_chip,amex,0
280.00,19.5,travel,online_checkout,visa,0
4100.00,920.0,travel,international_online,visa,1
18.20,1.7,entertainment,in_store_chip,mastercard,0
160.00,13.8,online_services,online_checkout,visa,0
1.80,710.0,online_services,international_online,visa,1
82.00,6.9,grocery,in_store_chip,mastercard,0
26.10,1.6,grocery,in_store_chip,visa,0
92.00,8.7,entertainment,online_checkout,mastercard,0
1950.00,340.0,electronics,international_online,visa,1
13.80,1.3,grocery,in_store_chip,visa,0
210.00,16.5,travel,online_checkout,amex,0
2700.00,720.0,electronics,international_online,mastercard,1
1.10,0.4,grocery,in_store_chip,mastercard,0
